ID	RECEITA PREVISTA	PRECO MEDIO JAN	PRECO MEDIO FEV	PRECO MEDIO MAR	DISPO JAN	DISPO FEV	DISPO MAR
16649483	25700.0	1619.3548387096785	1551.7241379310349	1258.0645161290324	19	29	31
37496145	40281.0	781.5483870967747	714.3793103448276	474.99999999999983	26	29	31
16348366	18200.0	1300.0000000000011	1299.9999999999995	1300.0000000000011	29	29	31
15465257	4500.0	578.3870967741938	467.93103448275866	483.54838709677387	30	29	31
39025957	108140.0	849.9999999999995	549.9999999999999	550.0000000000001	0	0	0
33369556	17337736.0	96748.00000000004	96747.99999999999	96748.00000000004	0	0	0
34279134	286200.0	1799.9999999999986	1800.0000000000002	1799.9999999999986	0	0	0
26157198	111650.0	2280.645161290322	2517.2413793103447	1699.999999999999	13	21	31
16791403	88400.0	2067.7419354838694	1610.3448275862067	700.0000000000002	13	29	31
34397404	82150.0	3382.25806451613	3477.5862068965534	2629.0322580645166	29	20	31
18176181	16114.0	698.3870967741939	629.206896551724	297.00000000000006	29	29	31
31053156	49900.0	1125.806451612903	1051.7241379310344	999.9999999999999	15	20	31
38930182	4123840.0	6307.096774193547	6508.965517241378	35441.61290322582	6	29	21
21813768	67848.0	437.9032258064517	399.0	399.00000000000006	6	0	0
20437118	27500.0	350.0000000000001	522.4137931034485	350.0000000000001	0	13	31
16026473	6650.0	942.2580645161288	901.7241379310346	899.9999999999993	29	29	31
30087408	179800.0	1258.0645161290329	1027.5862068965516	799.9999999999994	0	0	0
12094768	19950.0	2046.1290322580664	1605.1724137931028	1330.0000000000002	31	22	31
34283621	0.0	10193.548387096775	10000.000000000004	7212.903225806446	31	29	31
10050976	10570.0	1961.2903225806438	2006.8965517241375	1799.9999999999986	31	29	31
9095174	9000.0	750.0000000000005	649.9999999999998	499.99999999999994	25	29	31
30502211	12000.0	750.0000000000005	750.0	300.0000000000001	18	29	31
39770341	16950.0	3390.000000000001	3390.0000000000023	3390.000000000001	26	29	31
21163135	12850.0	504.83870967741933	472.41379310344854	399.9999999999997	20	29	31
29280628	4700.0	781.2903225806452	627.5862068965514	388.70967741935465	29	29	31
30463614	27600.0	999.9999999999999	875.8620689655174	999.9999999999999	28	12	31
14396337	49110.0	921.290322580645	896.551724137931	600.0000000000002	0	19	31
17430356	60022.0	766.903225806452	618.9655172413792	399.9999999999997	0	0	28
11783790	50620.0	545.8064516129031	556.5517241379308	379.99999999999983	2	14	31
4936246	40113.0	759.8709677419358	789.0000000000003	849.9999999999995	19	29	0
33048099	120700.0	2032.2580645161277	1596.5517241379307	1138.7096774193549	11	13	31
28711449	16080.0	392.25806451612885	322.06896551724157	319.9999999999999	2	22	31
8679731	76698.0	1648.709677419356	1614.1724137931037	998.0000000000008	20	22	31
16780611	22770.0	446.77419354838673	496.5517241379312	399.9999999999997	5	28	31
20747958	178050.0	1891.9354838709678	1986.2068965517237	1650.0000000000005	3	12	31
31232446	0.0	890.0000000000003	890.0000000000003	890.0000000000003	31	29	31
19542322	12059305.0	28960.29032258062	83562.89655172413	96748.00000000004	21	3	0
